CALL ID,CALLS,DISPOSITION,TALK TIME,Devolutiva,Custom.Numero_CAP,Custom.Transfer_NPS,Custom.NPS_Solicitacao,Custom.NPS_Nota,DATE,Custom.Analista
300000004389,1,Chamada Não Atendida,00:00:13,VE,10000000231035,N,,,2024/12/30,
300000004390,1,Chamada Não Atendida,00:00:04,VE,10000000231035,N,,,2024/12/30,
300000004391,1,Chamada Não Atendida,00:00:09,VE,,N,,,2024/12/30,
300000004392,1,URA Pesquisa NPS,00:03:41,VE,10000000231035,S,Sim,10.0,2024/12/30,Email1768
300000004393,1,Caixa Postal,,VE,10000000129559,N,,,2024/12/30,
300000004394,1,Chamada Não Atendida,00:00:05,VE,10000000231109,N,,,2024/12/30,
300000004395,1,Chamada Não Atendida,,VE,10000000231109,N,,,2024/12/30,
300000004396,1,Protocolo Permanecera em Andamento,00:06:20,VE,10000000229639,N,,,2024/12/30,
300000004397,1,Informação,,VE,,N,,,2024/12/30,
300000004398,1,Contato de Finalizacao do Protocolo,00:03:25,VE,10000000231124,N,,,2024/12/30,
300000004399,1,URA Pesquisa NPS,00:01:54,VE,10000000128383,S,Sim,10.0,2024/12/30,Email1768
300000004400,1,Informação,00:01:44,VE,10000000230651,N,,,2024/12/27,
300000004401,1,Informação,00:03:39,VE,10000000230651,N,,,2024/12/27,
300000004402,1,Chamada Não Atendida,00:00:01,VE,10000000129039,N,,,2024/12/27,
300000004403,1,Chamada Não Atendida,,VE,10000000129039,N,,,2024/12/27,
300000004404,1,URA Pesquisa NPS,00:03:10,VE,10000000230919,S,Sim,10.0,2024/12/27,Email1768
300000004405,1,Chamada Não Atendida,,CLI,10000000230483,N,,,2024/12/27,
300000004406,1,Chamada Não Atendida,,CLI,,N,,,2024/12/27,
300000004407,1,Chamada Não Atendida,,CLI,10000000230483,N,,,2024/12/27,
300000004408,1,URA Pesquisa NPS,00:03:54,VE,10000000230932,S,Sim,10.0,2024/12/27,Email5371
300000004409,1,Chamada Não Atendida,,VE,,N,,,2024/12/27,
300000004410,1,Chamada Não Atendida,,CLI,10000000230483,N,,,2024/12/27,
300000004411,1,Chamada Não Atendida,,CLI,10000000230483,N,,,2024/12/27,
300000004412,1,Informação,00:03:01,,,N,,,2024/12/27,
300000004413,1,Informação,,VE,,N,,,2024/12/27,
300000004414,1,Informação,,VE,,N,,,2024/12/27,
300000004415,1,Chamada Não Atendida,,cliente ,,N,,,2024/12/27,
300000004416,1,Chamada Não Atendida,,VE,10000000230570,N,,,2024/12/27,
300000004417,1,Chamada Não Atendida,00:00:01,VE,10000000230570,N,,,2024/12/27,
300000004418,1,Informação,,cli,,N,,,2024/12/27,
300000004419,1,Protocolo Permanecera em Andamento,00:02:35,VE,10000000230570,N,,,2024/12/27,
300000004420,1,URA Pesquisa NPS,00:02:41,VE,10000000231034,S,Sim,10.0,2024/12/27,Email1768
300000004421,1,Chamada Não Atendida,00:00:00,VE,10000000231037,N,,,2024/12/27,
300000004422,1,URA Pesquisa NPS,00:03:39,VE,10000000231037,S,Sim,10.0,2024/12/27,Email1768
300000004423,1,Caixa Postal,,CLI,10000000219032,N,,,2024/12/26,
300000004424,1,URA Pesquisa NPS,00:19:04,CLI,10000000230589,S,Sim,8.0,2024/12/26,Email1768
300000004425,1,URA Pesquisa NPS,00:00:13,VE,10000000230802,S,,,2024/12/26,Email5371
300000004426,1,Chamada Não Atendida,,VE,10000000230606,N,,,2024/12/26,
300000004427,1,Sent To Voicemail,00:03:23,VE,10000000230606,S,Sim,10.0,2024/12/26,Email1768
300000004428,1,Contato de Finalizacao do Protocolo,00:03:17,Cliente,,N,,,2024/12/26,
300000004429,1,Chamada Não Atendida,,VE,10000000230833,N,,,2024/12/26,
300000004430,1,Chamada Não Atendida,,VE,10000000230833,N,,,2024/12/26,
300000004431,1,Chamada Não Atendida,,VE,10000000230833,N,,,2024/12/26,
300000004432,1,URA Pesquisa NPS,00:02:29,VE,10000000230833,S,Sim,10.0,2024/12/26,Email1768
300000004433,1,Cliente Desligou,00:00:46,VE,10000000230833,N,,,2024/12/26,
300000004434,1,URA Pesquisa NPS,00:01:31,VE,10000000230841,S,Sim,10.0,2024/12/26,Email1768
300000004435,1,Caixa Postal,,VE,10000000223880,N,,,2024/12/24,
300000004436,1,Chamada Não Atendida,00:00:07,VE,10000000230307,N,,,2024/12/23,
300000004437,1,Chamada Não Atendida,00:00:00,VE,10000000230307,N,,,2024/12/23,
300000004438,1,Chamada Não Atendida,,VE,10000000230307,N,,,2024/12/23,
300000004439,1,Caixa Postal,00:00:04,VE,10000000230361,N,,,2024/12/23,
300000004440,1,Caixa Postal,00:00:14,VE,10000000230361,N,,,2024/12/23,
300000004441,1,Chamada Não Atendida,00:00:00,VE,10000000230361,N,,,2024/12/23,
300000004442,1,URA Pesquisa NPS,00:03:32,VE,10000000230361,S,Sim,10.0,2024/12/23,Email1768
300000004443,1,Caixa Postal,00:00:03,Cliente,10000000227613,N,,,2024/12/23,
300000004444,1,Caixa Postal,00:00:01,Cli,10000000229171,N,,,2024/12/23,
300000004445,1,Cliente Desligou,00:02:52,VE,10000000127630,N,,,2024/12/23,
300000004446,1,Sent To Voicemail,00:03:17,VE,10000000230433,S,Sim,10.0,2024/12/23,Email1768
300000004447,1,Caixa Postal,00:00:12,VE,10000000127042,N,,,2024/12/23,
300000004448,1,Informação,00:08:28,,,N,,,2024/12/23,
300000004449,1,Caixa Postal,00:00:20,Cli,10000000227164,N,,,2024/12/23,
300000004450,1,URA Pesquisa NPS,00:06:20,Cli,10000000227164,S,,,2024/12/23,Email1615
300000004451,1,Informação,00:00:02,VE,10000000230373,N,,,2024/12/23,
300000004452,1,Informação,00:00:02,VE,,N,,,2024/12/23,
300000004453,1,URA Pesquisa NPS,00:03:03,VE,10000000230095,S,Sim,10.0,2024/12/23,Email4355
300000004454,1,Informação,00:01:05,,,N,,,2024/12/20,
300000004455,1,Informação,00:00:16,,,N,,,2024/12/20,
300000004456,1,Informação,00:00:14,,,N,,,2024/12/20,
300000004457,1,Informação,00:00:11,,,N,,,2024/12/20,
300000004458,1,Informação,00:04:19,,,N,,,2024/12/20,
300000004459,1,Informação,,,,N,,,2024/12/20,
300000004460,1,Informação,00:00:26,,,N,,,2024/12/20,
300000004461,1,URA Pesquisa NPS,00:02:31,VE,10000000230059,S,,,2024/12/20,Email4194
300000004462,1,Chamada Não Atendida,00:00:01,VE,10000000230175,N,,,2024/12/20,
300000004463,1,Protocolo Permanecera em Andamento,00:03:37,VE,10000000230175,N,,,2024/12/20,
300000004464,1,Chamada Não Atendida,,VE,10000000229184,N,,,2024/12/20,
300000004465,1,Chamada Não Atendida,,VE,10000000229184,N,,,2024/12/20,
300000004466,1,Informação,00:00:13,VE,,N,,,2024/12/20,
300000004467,1,Informação,00:00:01,VE,,N,,,2024/12/20,
300000004468,1,Informação,,VE,,N,,,2024/12/20,
300000004469,1,Não Atende,,,10000000229878,N,,,2024/12/19,
300000004470,1,Chamada Não Atendida,,VE,,N,,,2024/12/19,
300000004471,1,Chamada Não Atendida,,VE,,N,,,2024/12/19,
300000004472,1,URA Pesquisa NPS,00:01:47,VE,10000000229409,S,Sim,10.0,2024/12/19,Email1768
300000004473,1,URA Pesquisa NPS,00:00:50,VE,10000000229827,S,Sim,10.0,2024/12/19,Email306
300000004474,1,Protocolo Permanecera em Andamento,00:05:30,VE,10000000229844,N,,,2024/12/19,
300000004475,1,Chamada Não Atendida,00:00:01,VE,10000000230056,N,,,2024/12/19,
300000004476,1,Chamada Não Atendida,00:00:05,VE,10000000230056,N,,,2024/12/19,
300000004477,1,Sent To Voicemail,00:04:52,VE,10000000229275,S,Sim,10.0,2024/12/19,Email1768
300000004478,1,Informação,00:00:03,VE,,N,,,2024/12/19,
300000004479,1,Informação,00:06:23,VE,,N,,,2024/12/19,
300000004480,1,Caixa Postal,00:00:01,Cli,10000000229171,N,,,2024/12/19,
300000004481,1,Caixa Postal,00:00:01,Cli,10000000229171,N,,,2024/12/19,
300000004482,1,Informação,,,,N,,,2024/12/18,
300000004483,1,Chamada Não Atendida,,VE,,N,,,2024/12/18,
300000004484,1,URA Pesquisa NPS,00:02:01,VE,10000000229203,S,Sim,10.0,2024/12/18,Email1768
300000004485,1,Chamada Não Atendida,00:00:00,VE,10000000229203,N,,,2024/12/18,
300000004486,1,Protocolo Permanecera em Andamento,00:02:09,VE,10000000229203,N,,,2024/12/18,
300000004487,1,Caixa Postal,00:00:03,Cli,10000000118157,N,,,2024/12/18,
300000004488,1,URA Pesquisa NPS,00:01:35,VE,10000000229044,S,Sim,10.0,2024/12/18,Email1768
300000004489,1,Informação,00:20:16,cli,,N,,,2024/12/18,
300000004490,1,URA Pesquisa NPS,00:01:54,VE,10000000229186,S,Sim,10.0,2024/12/17,Email329
300000004491,1,Caixa Postal,,VE,10000000229208,N,,,2024/12/17,
300000004492,1,URA Pesquisa NPS,00:02:41,VE,10000000228913,S,Sim,10.0,2024/12/17,Email1768
300000004493,1,Caixa Postal,,Cli,,N,,,2024/12/17,
300000004494,1,Caixa Postal,,Cli,,N,,,2024/12/17,
300000004495,1,Caixa Postal,,Cli,,N,,,2024/12/17,
300000004496,1,URA Pesquisa NPS,00:05:53,Cli,10000000229114,S,Sim,10.0,2024/12/17,Email5371
300000004497,1,Informação,,,,N,,,2024/12/17,
300000004498,1,Informação,,,,N,,,2024/12/17,
300000004499,1,Caixa Postal,,ve,,N,,,2024/12/17,
300000004500,1,URA Pesquisa NPS,00:03:20,Cli,10000000229308,S,Sim,9.0,2024/12/17,Email5371
300000004501,1,Chamada Não Atendida,00:00:01,VE,10000000227089,N,,,2024/12/17,
300000004502,1,URA Pesquisa NPS,00:02:14,VE,10000000227089,S,Nao,10.0,2024/12/17,Email1768
300000004503,1,Caixa Postal,00:00:04,VE,10000000229278,N,,,2024/12/17,
300000004504,1,Informação,,VE,,N,,,2024/12/17,
300000004505,1,Informação,00:03:51,VE,,N,,,2024/12/17,
300000004506,1,URA Pesquisa NPS,00:01:13,VE,10000000229087,S,Sim,9.0,2024/12/17,Email1768
300000004507,1,URA Pesquisa NPS,00:00:51,ve,10000000228903,S,Sim,,2024/12/16,Email4355
300000004508,1,URA Pesquisa NPS,00:00:30,VE,10000000228798,S,Sim,10.0,2024/12/16,Email5371
300000004509,1,Chamada Não Atendida,00:00:01,VE,10000000227351,N,,,2024/12/16,
300000004510,1,Caixa Postal,00:00:06,VE,10000000228964,N,,,2024/12/16,
