CALL ID,CALLS,DISPOSITION,TALK TIME,Devolutiva,Custom.Numero_CAP,Custom.Transfer_NPS,Custom.NPS_Solicitacao,Custom.NPS_Nota,DATE,Custom.Analista
300000005583,1,Caixa Postal,00:00:04,CLI,,N,,,2025/01/31,
300000005584,1,Caixa Postal,00:00:05,CLI,,N,,,2025/01/31,
300000005585,1,Informação,00:03:28,VE,10000000112793,N,,,2025/01/31,
300000005586,1,URA Pesquisa NPS,00:03:11,,10000000115461,S,Sim,10.0,2025/01/31,Email45
300000005587,1,Responsavel ausente,00:01:23,CLI,10000000116086,N,,,2025/01/31,
300000005588,1,Caixa Postal,00:03:28,VE,,N,,,2025/01/31,
300000005589,1,Caixa Postal,00:00:14,VE,,N,,,2025/01/31,
300000005590,1,Caixa Postal,,CLI,,N,,,2025/01/31,
300000005591,1,Protocolo Permanecera em Andamento,00:04:36,Cli,10000000113095,N,,,2025/01/31,
300000005592,1,Caixa Postal,00:00:05,CLI,10000000115785,N,,,2025/01/31,
300000005593,1,URA Pesquisa NPS,00:04:39,CLI,10000000112487,S,Sim,,2025/01/31,Email4355
300000005594,1,Caixa Postal,00:00:06,CLI,10000000115785,N,,,2025/01/31,
300000005595,1,Ligação Muda,00:01:33,VE,,N,,,2025/01/31,
300000005596,1,Ligação Muda,00:01:08,VE,,N,,,2025/01/31,
300000005597,1,Cliente solicita novo contato,00:01:25,VE,,N,,,2025/01/31,
300000005598,1,Caixa Postal,00:00:03,,,N,,,2025/01/31,
300000005599,1,Caixa Postal,00:00:05,,,N,,,2025/01/31,
300000005600,1,Ocupado,,VE,10000000115787,N,,,2025/01/31,
300000005601,1,Ocupado,,VE,10000000115787,N,,,2025/01/31,
300000005602,1,Ligação Muda,00:00:15,,,N,,,2025/01/31,
300000005603,1,Contato de Finalizacao do Protocolo,00:02:15,,,N,,,2025/01/31,
300000005604,1,Caixa Postal,,cli,10000000116011,N,,,2025/01/31,
300000005605,1,URA Pesquisa NPS,00:02:06,cli,10000000116011,S,Sim,10.0,2025/01/31,Email48439
300000005606,1,URA Pesquisa NPS,00:02:34,,10000000115535,S,Sim,6.0,2025/01/31,Email48442
300000005607,1,Protocolo Permanecera em Andamento,00:06:54,Cliente,10000000116030,N,,,2025/01/31,
300000005608,1,Caixa Postal,00:00:10,VE,,N,,,2025/01/31,
300000005609,1,Caixa Postal,00:00:05,VE,,N,,,2025/01/31,
300000005610,1,Caixa Postal,00:00:04,VE,,N,,,2025/01/31,
300000005611,1,Protocolo Permanecera em Andamento,00:00:32,VE,,N,,,2025/01/31,
300000005612,1,URA Pesquisa NPS,00:01:41,VE,10000000115778,S,Sim,10.0,2025/01/31,Email364
300000005613,1,Chamada Não Atendida,,CLI ,10000000257941,N,,,2025/01/31,
300000005614,1,Caixa Postal,,CLI,10000000116072,N,,,2025/01/31,
300000005615,1,Informação,00:00:51,CLI,10000000116072,N,,,2025/01/31,
300000005616,1,Caixa Postal,00:00:01,VE,,N,,,2025/01/31,
300000005617,1,URA Pesquisa NPS,00:01:35,VE,10000000115805,S,,,2025/01/31,Email4355
300000005618,1,Informação,00:01:53,VE,10000000116068,N,,,2025/01/31,
300000005619,1,Caixa Postal,00:00:04,VE,,N,,,2025/01/31,
300000005620,1,Caixa Postal,00:00:03,VE,,N,,,2025/01/30,
300000005621,1,Protocolo Permanecera em Andamento,00:02:57,CLI,10000000116493,N,,,2025/01/30,
300000005622,1,URA Pesquisa NPS,00:02:43,VE,10000000116714,S,Nao,,2025/01/30,Email364
300000005623,1,Caixa Postal,00:00:03,,,N,,,2025/01/30,
300000005624,1,Caixa Postal,00:00:03,,,N,,,2025/01/30,
300000005625,1,Caixa Postal,00:00:00,,,N,,,2025/01/30,
300000005626,1,Chamada Não Atendida,,CLI ,10000000257941,N,,,2025/01/30,
300000005627,1,Chamada Não Atendida,,CLI ,10000000257941,N,,,2025/01/30,
300000005628,1,URA Pesquisa NPS,00:02:03,VE,10000000116219,S,Sim,10.0,2025/01/30,Email329
300000005629,1,Caixa Postal,00:00:03,VE,,N,,,2025/01/30,
300000005630,1,Caixa Postal,00:00:15,VE,,N,,,2025/01/30,
300000005631,1,URA Pesquisa NPS,00:01:16,VE,10000000116667,S,Sim,10.0,2025/01/30,Email4355
300000005632,1,Cliente Desligou,00:00:03,,,N,,,2025/01/30,
300000005633,1,Caixa Postal,00:00:04,VE,,N,,,2025/01/30,
300000005634,1,Caixa Postal,,VE,,N,,,2025/01/30,
300000005635,1,Caixa Postal,,,,N,,,2025/01/30,
300000005636,1,Caixa Postal,00:00:08,,,N,,,2025/01/30,
300000005637,1,Informação,,,,N,,,2025/01/30,
300000005638,1,URA Pesquisa NPS,00:01:02,CLI,10000000116795,S,,,2025/01/30,Email4355
300000005639,1,Ocupado,,,10000000116805,N,,,2025/01/30,
300000005640,1,Cliente Desligou,00:00:10,CLI,,N,,,2025/01/30,
300000005641,1,Chamada Não Atendida,,CLI,10000000116612,N,,,2025/01/30,
300000005642,1,Consulta Status,,CLI,,N,,,2025/01/30,
300000005643,1,Não Atende,,Cliente,1000000083345,N,,,2025/01/30,
300000005644,1,Contato de Finalizacao do Protocolo,00:01:17,VE,,N,,,2025/01/30,
300000005645,1,Ocupado,,VE,10000000113130,N,,,2025/01/30,
300000005646,1,Ocupado,,VE,10000000113130,N,,,2025/01/30,
300000005647,1,Caixa Postal,00:00:03,VE,,N,,,2025/01/30,
300000005648,1,URA Pesquisa NPS,00:01:20,Ve,10000000116809,S,Sim,10.0,2025/01/30,Email1768
