CALL ID,CALLS,DISPOSITION,TALK TIME,Devolutiva,Custom.Numero_CAP,Custom.Transfer_NPS,Custom.NPS_Solicitacao,Custom.NPS_Nota,DATE,Custom.Analista
3000000020855,1,Chamada Não Atendida,00:00:06,,,N,,,2025/08/29,
3000000020856,1,Caixa Postal,00:00:00,CLI,10000000261080,N,,,2025/08/29,
3000000020857,1,URA Pesquisa NPS,00:01:13,CLI,10000000261081,S,Sim,,2025/08/29,Email585
3000000020858,1,Contato de Finalizacao do Protocolo,00:02:47,CLI,10000000261082,N,,,2025/08/29,
3000000020859,1,URA Pesquisa NPS,00:04:50,Cli,10000000261083,S,Sim,10.0,2025/08/29,Email1615
3000000020860,1,Ligação Muda,00:00:07,cli,10000000261084,N,,,2025/08/29,
3000000020861,1,Caixa Postal,00:00:04,cli,10000000261084,N,,,2025/08/29,
3000000020862,1,Caixa Postal,00:00:02,Cli,10000000261085,N,,,2025/08/29,
3000000020863,1,Caixa Postal,00:00:04,cli,10000000261084,N,,,2025/08/29,
3000000020864,1,URA Pesquisa NPS,00:01:57,Cli,10000000261086,S,,,2025/08/29,Email5371
3000000020865,1,Caixa Postal,00:00:00,cli,10000000261087,N,,,2025/08/29,
3000000020866,1,Caixa Postal,00:00:00,cli,10000000261087,N,,,2025/08/29,
3000000020867,1,Caixa Postal,00:00:00,cli,,N,,,2025/08/29,
3000000020868,1,Caixa Postal,00:00:01,cli,10000000261088,N,,,2025/08/29,
3000000020869,1,Caixa Postal,00:00:01,cli,10000000261088,N,,,2025/08/29,
3000000020870,1,URA Pesquisa NPS,00:01:03,cli,10000000261089,S,Sim,10.0,2025/08/29,Email48439
3000000020871,1,Caixa Postal,00:00:04,Cli,10000000261090,N,,,2025/08/29,
3000000020872,1,Sent To Voicemail,00:02:20,CLI ,10000000261091,S,Sim,10.0,2025/08/29,Email372
3000000020873,1,URA Pesquisa NPS,00:00:45,cli,10000000261092,S,,,2025/08/29,Email48439
3000000020874,1,Caixa Postal,00:00:00,cli,,N,,,2025/08/29,
3000000020875,1,Chamada Não Atendida,00:00:03,cli,10000000261093,N,,,2025/08/29,
3000000020876,1,Caixa Postal,00:00:05,Cli,10000000261094,N,,,2025/08/29,
3000000020877,1,Caixa Postal,00:00:09,,,N,,,2025/08/29,
3000000020878,1,Caixa Postal,00:02:09,,,N,,,2025/08/29,
3000000020879,1,URA Pesquisa NPS,00:01:16,cli,10000000261095,S,Sim,,2025/08/29,Email48439
3000000020880,1,Informação,00:00:09,CLI ,10000000261096,N,,,2025/08/29,
3000000020881,1,URA Pesquisa NPS,00:01:06,CLI ,10000000261097,S,,,2025/08/29,Email372
