CALL ID,CALLS,DISPOSITION,TALK TIME,Devolutiva,Custom.Numero_CAP,Custom.Transfer_NPS,Custom.NPS_Solicitacao,Custom.NPS_Nota,DATE,Custom.Analista
300000006345,1,Ligação Muda,00:00:13,,10000000101002,N,,,2025/02/28,
300000006346,1,Chamada Não Atendida,,Cli,10000000100920,N,,,2025/02/28,
300000006347,1,Chamada Não Atendida,,Cli,10000000100920,N,,,2025/02/28,
300000006348,1,URA Pesquisa NPS,00:05:35,VE,10000000101118,S,Sim,10.0,2025/02/28,Email5371
300000006349,1,Chamada Não Atendida,00:00:07,VE,10000000100929,N,,,2025/02/28,
300000006350,1,Chamada Não Atendida,00:00:05,VE,,N,,,2025/02/28,
300000006351,1,URA Pesquisa NPS,00:02:21,VE,10000000100928,S,Sim,10.0,2025/02/28,Email1768
300000006352,1,Chamada Não Atendida,,Cli,10000000100920,N,,,2025/02/28,
300000006353,1,Ocupado,,Cli,10000000100920,N,,,2025/02/28,
300000006354,1,Chamada Não Atendida,,VE,1000000099637,N,,,2025/02/28,
300000006355,1,Chamada Não Atendida,00:00:21,VE,,N,,,2025/02/28,
300000006356,1,Chamada Não Atendida,,VE,,N,,,2025/02/28,
300000006357,1,Caixa Postal,,,,N,,,2025/02/28,
300000006358,1,Caixa Postal,00:00:10,VE ,,N,,,2025/02/28,
300000006359,1,URA Pesquisa NPS,00:03:25,VE,10000000100813,S,Sim,10.0,2025/02/28,Email5371
300000006360,1,URA Pesquisa NPS,00:03:36,Cli,1000000097541,S,Sim,9.0,2025/02/28,Email19156
300000006361,1,Chamada Não Atendida,00:00:04,VE,1000000098444,N,,,2025/02/28,
300000006362,1,Chamada Não Atendida,,VE,1000000098444,N,,,2025/02/28,
300000006363,1,Caixa Postal,,VE,,N,,,2025/02/28,
300000006364,1,Caixa Postal,,VE,,N,,,2025/02/28,
300000006365,1,URA Pesquisa NPS,00:01:30,CLI,10000000101213,S,,,2025/02/28,Email364
300000006366,1,Caixa Postal,,VE,,N,,,2025/02/28,
300000006367,1,Informação,,,,N,,,2025/02/28,
300000006368,1,Contato de Finalizacao do Protocolo,00:03:27,C,10000000100928,N,,,2025/02/28,
300000006369,1,URA Pesquisa NPS,00:01:02,VE,10000000100672,S,Sim,10.0,2025/02/28,Email329
300000006370,1,URA Pesquisa NPS,00:04:07,VE,1000000097755,S,Sim,10.0,2025/02/28,Email329
300000006371,1,Contato de Finalizacao do Protocolo,00:02:03,Cli,10000000100968,N,,,2025/02/28,
300000006372,1,Caixa Postal,00:00:00,Cli,1000000099857,N,,,2025/02/28,
300000006373,1,URA Pesquisa NPS,00:00:46,VE,10000000101107,S,Sim,9.0,2025/02/28,Email1768
300000006374,1,Caixa Postal,00:00:04,ve,10000000101070,N,,,2025/02/28,
300000006375,1,Caixa Postal,00:00:10,ve,,N,,,2025/02/28,
300000006376,1,URA Pesquisa NPS,00:01:01,VE,10000000101082,S,Sim,10.0,2025/02/28,Email1768
300000006377,1,Caixa Postal,,VE,,N,,,2025/02/28,
300000006378,1,Caixa Postal,00:00:02,VE,,N,,,2025/02/28,
300000006379,1,Caixa Postal,,VE,10000000101083,N,,,2025/02/28,
300000006380,1,Caixa Postal,00:00:03,,,N,,,2025/02/28,
300000006381,1,URA Pesquisa NPS,00:00:53,VE,10000000101090,S,Sim,10.0,2025/02/28,Email1768
300000006382,1,Caixa Postal,00:03:54,VE,,N,,,2025/02/28,
300000006383,1,Caixa Postal,00:04:45,VE,,N,,,2025/02/28,
300000006384,1,URA Pesquisa NPS,00:12:04,VE,1000000078492,S,Nao,,2025/02/28,Email5371
300000006385,1,Chamada Não Atendida,00:00:01,VE,10000000100681,N,,,2025/02/28,
300000006386,1,Chamada Não Atendida,,VE,,N,,,2025/02/28,
300000006387,1,URA Pesquisa NPS,00:00:44,VE,10000000101067,S,Sim,10.0,2025/02/28,Email5371
300000006388,1,Protocolo Permanecera em Andamento,00:01:01,VE,10000000100027,N,,,2025/02/28,
300000006389,1,Caixa Postal,00:00:05,VE,10000000100971,N,,,2025/02/28,
300000006390,1,Caixa Postal,00:00:05,,,N,,,2025/02/28,
300000006391,1,Informação,00:16:10,CLI,1000000099346,N,,,2025/02/28,
300000006392,1,URA Pesquisa NPS,00:02:40,VE,10000000100681,S,Sim,9.0,2025/02/28,Email1768
300000006393,1,Caixa Postal,00:00:01,,,N,,,2025/02/28,
300000006394,1,Caixa Postal,,,,N,,,2025/02/28,
300000006395,1,Informação,00:01:18,Cliente,10000000101970,N,,,2025/02/27,
300000006396,1,URA Pesquisa NPS,00:02:24,cli,10000000101672,S,Sim,10.0,2025/02/27,Email296
300000006397,1,Ocupado,,Cliente,10000000100972,N,,,2025/02/27,
300000006398,1,Contato de Finalizacao do Protocolo,00:01:35,,,N,,,2025/02/27,
300000006399,1,Contato de Finalizacao do Protocolo,00:19:12,VE,10000000100972,N,,,2025/02/27,
300000006400,1,Protocolo Permanecera em Andamento,00:02:57,VE,10000000106878,N,,,2025/02/27,
300000006401,1,Caixa Postal,00:00:09,CLI,10000000101963,N,,,2025/02/27,
300000006402,1,Chamada Não Atendida,00:00:04,VE,10000000100350,N,,,2025/02/27,
300000006403,1,Chamada Não Atendida,00:00:04,VE,10000000100350,N,,,2025/02/27,
300000006404,1,URA Pesquisa NPS,00:14:39,cli,10000000101658,S,,,2025/02/27,Email19156
300000006405,1,Caixa Postal,00:00:10,Cli,10000000100505,N,,,2025/02/27,
